tempo,temp,pressao,altitude,luz,gas1,gas2,gas3,Air,humidade,temp,poeira
Domingo-26/9/2020  12:01:42,30.07,93688.14,656,79,0,0,0,24,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:44,30.10,93689.38,656,79,0,0,0,26,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:46,30.13,93692.75,656,79,0,0,0,26,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:48,30.16,93695.53,655,77,0,0,0,26,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:49,30.17,93690.07,656,76,0,0,0,25,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:51,30.20,93688.83,656,29,0,0,0,27,51.00,Temp: ,-1
Domingo-26/9/2020  12:01:53,30.24,93690.15,656,70,0,0,0,27,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:54,30.27,93689.10,656,78,0,0,0,27,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:56,30.29,93693.07,656,75,0,0,0,27,50.00,Temp: ,-1
Domingo-26/9/2020  12:01:58,30.34,93691.57,656,82,0,0,0,27,50.00,Temp: ,-1
Domingo-26/9/2020  12:02:00,30.37,93691.86,656,82,0,0,0,27,50.00,Temp: ,-1
Domingo-26/9/2020  12:02:01,30.38,93692.86,656,82,0,0,0,26,50.00,Temp: ,-1
Domingo-26/9/2020  12:02:03,30.40,93693.51,656,82,0,0,0,26,50.00,Temp: ,0.62
Domingo-26/9/2020  12:02:05,30.42,93695.66,655,81,0,0,0,26,50.00,Temp: ,-1
Domingo-26/9/2020  12:02:06,30.44,93694.64,656,53,0,0,0,28,50.00,Temp: ,-1
Domingo-26/9/2020  12:02:08,30.46,93688.39,656,80,0,0,0,28,50.00,Temp: ,-1
Domingo-26/9/2020  12:02:10,30.50,93687.17,656,81,0,0,0,28,50.00,Temp: ,-1
Domingo-26/9/2020  12:02:12,30.54,93691.32,656,80,0,0,0,28,50.00,Temp: ,-1
Domingo-26/9/2020  12:02:13,30.55,93690.29,656,49,0,0,0,28,50.00,Temp: ,-1
Domingo-26/9/2020  12:02:15,30.58,93690.47,656,74,0,0,0,28,50.00,Temp: ,-1
Domingo-26/9/2020  12:02:17,30.60,93690.17,656,80,0,0,0,28,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:18,30.62,93690.89,656,80,0,0,0,28,49.00,Temp: ,-1
Domingo-26/9/2020  12:02:20,30.65,93690.47,656,80,0,0,0,27,49.00,Temp: ,-1
